scene_id,title,vo_words,est_sec,set,orbit,cam,holo
01,Cold open: the edge,88,38,deep space; distant accretion disk as a thin glowing ring ahead,"drifts forward alone, slow hover; cream eyes widen as the ring grows","slow push toward Orbit’s back, then past him toward the dark circle",
02,What a black hole really is,155,66,clean futuristic grey observatory; Orbit floats beside a large blue hologram,"explaining pose — stubby arm gestures toward hologram; learning energy, not lecture-robot",medium three-quarter on Orbit + holo,star collapses → core densifies → light paths bend
03,Myths Orbit has to unlearn,139,60,“watches science” room; Orbit beside hologram checklist of myths,swipes myths away one by one — playful then serious,medium; occasional insert on holo cards,cards — “VACUUM CLEANER” / “INSTANT CRUSH” / “PORTAL TO ANOTHER GALAXY” — dismissed
04,How black holes are born,289,124,observatory darkens; hologram becomes the main stage — Orbit small in foreground,"watches, then flinches slightly as the holo-star detonates",Orbit over-shoulder → cut into holo as if entering the simulation,massive star → red giant → core collapse → supernova shell fleeing outward → dark remnant
05,"The event horizon, without the myth",235,101,Orbit floats near a semi-transparent spherical horizon diagram in mid-air,orbits slowly around the diagram; pauses at the glowing boundary line,circular truck around Orbit + sphere,"photon paths bending; some skim, some fall in"
06,Falling from the outside,301,129,Orbit in a tiny illuminated probe-shell approaching a luminous accretion disk,gripping imaginary console; cream eyes tracking the disk; nervous hover wobble,chase cam behind Orbit; disk fills frame,
07,Time goes strange,190,81,split stage — left: Orbit falling; right: distant friend on a station watching a clock,glances between his own clock hologram and the distant friend; confused head tilt,slow intercut / split diopter feel,two clocks drifting out of sync
08,Spaghettification,209,90,"abstract gravity-gradient visualisation; Orbit elongated by soft CGI “pull” (tasteful, not gore)",alarmed — eyes wide; tries to paddle backward with stubby arms; comedy+dread,"Orbit full-body; vertical stretch exaggeration as teaching gag, then reset",
09,Crossing: what you might see,184,79,Orbit crosses a subtle shimmering boundary; stars ahead aberrate; rear view blueshifts briefly then closes,"floating onward; quiet awe; less comedy, more reverence","first-person-ish over Orbit’s shoulder, then reverse on his faceplate",
10,The singularity… and the honesty gap,178,76,observatory returns; hologram shows equations dissolving into fog near a central point,thinking — finger-to-chin stubby-arm pose; slow hover,"push in on Orbit’s faceplate, holo soft behind",classical singularity marker → question mark / quantum foam suggestion (no fake certainty)
11,Hawking radiation: black holes are not forever,228,98,dark void; a black hole with an almost imperceptible soft halo suggestion; Orbit watches from a safe schematic distance,"surprised delight — “wait, they evaporate?” energy",gentle orbit around the pair,"particle-pair sketch at horizon (careful, popular-level; not overclaim precision)"
12,"Spinning holes, rings of light, and near misses",148,63,Orbit rides a luminous unstable orbit just outside a spinning hole’s photon region — educational rollercoaster,thrill + fear; holds on; eyes flick to the photon ring,dynamic lateral tracking,asymmetric frame-dragging hints; bright photon ring
13,Could anything live near one?,111,48,Orbit small against a galaxy-centre vista; jets punching out of a bright nucleus,awed silence; slow turn to take in the scale,"epic wide, then medium on Orbit",
14,What falling in teaches us about knowledge,195,84,soft futuristic desk; physical monitor + floating notes; Orbit returns to the “watches science” room,contemplative hover beside screen showing EHT doughnut image,intimate medium close-up,"M87 / Sgr A* style ring (artistic, clean, minimal text)"
15,Closing: the thought that follows you out,75,32,Orbit drifts from desk back into a calm starfield; accretion glow far behind like a memory,ending performance — soft wave / fly-away; cream eyes warm,slow pull-back until Orbit is a small orange ember,
